site_id,service_point_id,asset_id,asset_class,operation_type,started_at_utc,ended_at_utc,energy_kwh,data_source
11111111-1111-1111-1111-111111111111,,9e05d00e-41f2-4334-b25d-be7588560e82,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,cadd7c81-433d-4158-90ac-b08ecbdcdf7a,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,a1111111-0001-0001-0001-000000000004,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,b2222222-0002-0002-0002-000000000003,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,b2222222-0002-0002-0002-000000000005,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,8eeaaef3-086f-40c8-9e90-1b91d50d3333,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,616a06de-9b62-4c6a-8d87-70dd2a5a1aa0,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,6fdd7f85-9754-43fc-8b73-bafcfef54374,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,54ec9dcb-76c1-4a7a-84e5-43ea4b3a7c8a,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,cb4faba2-c3d5-467f-a1b9-e8f69f266401,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,236edd3e-abd5-45f5-a053-7f66ab682162,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,f5c7d2a9-f6b6-46bb-8e61-5da2ec54b7db,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,a24e3f67-3653-4bd0-9362-2dcfd3d6abe9,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,a1111111-0001-0001-0001-000000000002,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,5e93a514-8ab0-4ac1-94d6-bede2a8b4f56,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,9e209f49-b30d-4544-a310-c76b3fbe8529,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,b14db297-e308-4ce6-8cce-88edbafce40e,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,77ecd026-12cb-458e-900a-4602511728d8,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,c9746783-5432-47a5-aaf9-1f8a2978d03c,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,44444820-2eae-438b-8058-c3b01b89fef6,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,c8ae20e3-3613-4ad1-b003-274321c4a101,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,bfbaf0b2-48ad-4283-8391-80f301eda2be,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,ca2624fc-c97d-4033-af1b-bf97756d3ad9,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,12cb06f0-cf74-436f-a37a-e660a52dc7e6,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,4c3a7261-79d3-43bf-a498-1971ad39b937,tesla_model_y_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,3d51937e-a289-4132-9fa6-07c0ed2fdbef,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,1ad24ec9-3039-4ab4-9b78-68c35a26f603,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,0d43459d-a82f-4d46-9579-43fc89feb981,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,2d2c46af-6b02-4b6e-95df-2cf9742bd376,zoox_robotaxi_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,1e6aa7f6-c47a-40fa-9d8e-8ea38d5f6173,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
11111111-1111-1111-1111-111111111111,,73e86c55-4eeb-43b3-943d-f700b40386af,waymo_jaguar_ipace_2024,wash,,2026-06-01T02:17:58.563449Z,,production
